,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,arrivé,come
19,devrait,should
20,bébé,baby
21,vont,will
22,pendant,while
23,revoir,meet again
24,aucune,any
25,place,square
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,type,type
35,leurs,their
36,donné,given
37,train,train
38,endroit,place
39,yeux,eyes
40,façon,way
41,écoute,listen
42,trouve,find
43,perdu,lost
44,main,hand
45,côté,side
46,vieux,old
47,sois,be
48,tiens,here
49,matin,morning
50,tellement,so much
51,enfant,child
52,point,point
53,venu,came
54,suite,after
55,pardon,sorry
56,venez,come
57,devant,in front of
58,vers,towards
59,demandé,request
60,chambre,bedroom
61,mis,placed
62,belle,beautiful
63,droit,law
64,aimerais,would like to
65,aujourd'hui,today
66,mari,husband
67,cause,cause
68,enfin,finally
69,espère,hope
70,eau,water
71,attendez,Wait
72,parti,left
73,nouvelle,new
74,boulot,job
75,arrêter,Stop
76,dirait,would say
77,terre,Earth
78,compte,account
79,donne,given
80,loin,far
81,fin,end
82,croire,believe
83,gros,large
84,plutôt,rather
85,aura,will have
86,jouer,to play
87,bureau,office
